DOI,Название,Open access,Авторы,Дата публикации,Цитирования,Журнал,Квартиль,Издатель,Том,Издание,Страницы
10.1088/1742-6596/2086/1/012008,Self-consistent modeling of MBE self-catalyzed GaAs nanowire growth,YES,"Fedina S.V., Koryakin A.A., Fedorov V.V., Sapunov G.A., Mukhin I.S.",01.12.2021,0,Journal of Physics: Conference Series,Q4,Institute of Physics Publishing,2086,1,012008
10.1088/1742-6596/2103/1/012127,Processes of formation of epitaxial arrays of self-catalytic GaP nanowires on Si (111),YES,"Fedina S.V., Fedorov V.V., Berdnikov Y.S., Sapunov G.A., Mukhin I.S.",01.11.2021,0,Journal of Physics: Conference Series,Q4,Institute of Physics Publishing,2103,1,012127
10.1016/j.apsusc.2021.150018,Work function tailoring in gallium phosphide nanowires,NO,"Sharov V., Alekseev P., Fedorov V., Nestoklon M., Ankudinov A., Kirilenko D., Sapunov G., Koval O., Cirlin G., Bolshakov A., Mukhin I.",21.10.2021,1,Applied Surface Science,Q1,Elsevier,563,,150018
10.3390/nano11081949,Tailoring Morphology and Vertical Yield of Self-Catalyzed GaP Nanowires on Template-Free Si Substrates,YES,"Fedorov V.V., Berdnikov Y., Sibirev N.V., Bolshakov A.D., Fedina S.V., Sapunov G.A., Dvoretckaia L.N., Cirlin G., Kirilenko D.A., Tchernycheva M., Mukhin I.S.",28.07.2021,3,Nanomaterials,Q1,Multidisciplinary Digital Publishing Institute (MDPI),11,8,1949
10.3390/nano11040960,XRD Evaluation of Wurtzite Phase in MBE Grown Self-Catalyzed GaP Nanowires,YES,"Koval O.Y., Fedorov V.V., Bolshakov A.D., Eliseev I.E., Fedina S.V., Sapunov G.A., Udovenko S.A., Dvoretckaia L.N., Kirilenko D.A., Burkovsky R.G., Mukhin I.S.",09.04.2021,4,Nanomaterials,Q1,Multidisciplinary Digital Publishing Institute (MDPI),11,4,960
10.1002/pssr.202000590,Single GaN Nanowires for Extremely High Current Commutation,NO,"Shugurov K., Mozharov A., Sapunov G., Fedorov V., Tchernycheva M., Mukhin I.",05.02.2021,1,Physica Status Solidi - Rapid Research Letters,Q1,Wiley-Blackwell,15,4,2000590
10.1088/1742-6596/1697/1/012127,Epitaxial synthesis of single-domain gallium phosphide on silicon,YES,"Sapunov G.A., Koval O.Y., Fedorov V.V., Bolshakov A.D.",01.12.2020,0,Journal of Physics: Conference Series,Q4,Institute of Physics Publishing,1697,1,012127
10.3390/nano10112110,Structural and Optical Properties of Self-Catalyzed Axially Heterostructured GaPN/GaP Nanowires Embedded into a Flexible Silicone Membrane,YES,"Koval O.Y., Fedorov V.V., Bolshakov A.D., Fedina S.V., Kochetkov F.M., Neplokh V., Sapunov G.A., Dvoretckaia L.N., Kirilenko D.A., Shtrom I.V., Islamova R.M., Cirlin G.E., Tchernycheva M., Serov A.Y., Mukhin I.S.",23.10.2020,9,Nanomaterials,Q1,Multidisciplinary Digital Publishing Institute (MDPI),10,11,2110
10.1039/c9ce01498e,Structural and optical characterization of dilute phosphide planar heterostructures with high nitrogen content on silicon,NO,"Koval O.Y., Fedorov V.V., Kryzhanovskaya N.V., Sapunov G.A., Kirilenko D.A., Pirogov E.V., Filosofov N.G., Serov A.Y., Shtrom I.V., Bolshakov A.D., Mukhin I.S.",21.04.2020,5,CrystEngComm,Q1,The Royal Society of Chemistry,22,2,283-292
10.1088/1361-6528/ab76f2,Hydrogen passivation of the n-GaN nanowire / p-Si heterointerface.,NO,"Shugurov K.Y., Mozharov A.M., Bolshakov A.D., Fedorov V.V., Sapunov G.A., Shtrom I.V., Uvarov A.V., Kudryashov D.A., Baranov A.I., Yu Mikhailovskii V., Neplokh V.V., Tchernycheva M., Cirlin G.E., Mukhin I.S.",27.03.2020,7,Nanotechnology,Q1,Institute of Physics Publishing,31,24,244003
10.1088/1742-6596/1461/1/012039,Controllable antiphase domain density in dilute nitride GaPN/GaP heterostructures on silicon,YES,"Fedorov V.V., Bolshakov A.D., Koval O.Y., Sapunov G.A., Sobolev M.S., Pirogov E.V., Kirilenko D.A., Mozharov A.M., Mukhin I.S.",01.03.2020,0,Journal of Physics: Conference Series,Q4,Institute of Physics Publishing,1461,1,012039
10.1088/1742-6596/1482/1/012026,Synthesis and characterization of GaPN/GaP heterostructures grown on silicon (001),YES,"Koval O.Y., Sapunov G.A., Fedorov V.V.",01.03.2020,0,Journal of Physics: Conference Series,Q4,Institute of Physics Publishing,1482,1,012026
10.1088/1757-899X/699/1/012047,Conductive AFM study of the electronic properties of individual epitaxial GaN nanowires,NO,"Sharov V., Bolshakov A., Fedorov V., Shugurov K.Y., Mozharov A.M., Sapunov G.A., Mukhin I.S.",01.12.2019,0,IOP Conference Series: Materials Science and Engineering,Q4,IOP Publishing,699,1,012047
10.1021/acs.cgd.9b01203,Synthesis and Optical Characterization of GaAs Epitaxial Nanoparticles on Silicon,NO,"Sapunov G.A., Fedorov V.V., Koval O.Y., Sharov V.A., Dvoretckaia L.N., Mukhin I.S., Bolshakov A.D.",25.11.2019,1,Crystal Growth and Design,Q1,American Chemical Society,20,1,300-306
10.1088/1742-6596/1400/5/055036,Growth and optical properties of GaPN/GaP heterostructure nanowire array,YES,"Koval O.Y., Sapunov G.A., Fedorov V.V., Mukhin I.S.",01.11.2019,1,Journal of Physics: Conference Series,Q4,Institute of Physics Publishing,1400,5,055036
10.1088/1742-6596/1400/5/055038,Synthesis and optical properties study of GaAs epitaxial nanoparticles on silicon,YES,"Sapunov G.A., Koval O.Y., Sharov V.A., Dvoretckaia L.N., Mitin D.M., Bolshakov A.D.",01.11.2019,0,Journal of Physics: Conference Series,Q4,Institute of Physics Publishing,1400,5,055038
10.1088/1361-6528/ab2c0c,"Effects of the surface preparation and buffer layer on the morphology, electronic and optical properties of the GaN nanowires on Si.",NO,"Bolshakov A.D., Fedorov V.V., Shugurov K.Y., Mozharov A.M., Sapunov G.A., Shtrom I.V., Mukhin M.S., Uvarov A.V., Cirlin G.E., Mukhin I.S.",16.07.2019,23,Nanotechnology,Q1,Institute of Physics Publishing,30,39,395602
10.1021/acs.cgd.9b00266,Effective Suppression of Antiphase Domains in GaP(N)/GaP Heterostructures on Si(001),NO,"Bolshakov A.D., Fedorov V.V., Koval O.Y., Sapunov G.A., Sobolev M.S., Pirogov E.V., Kirilenko D.A., Mozharov A.M., Mukhin I.S.",18.06.2019,8,Crystal Growth and Design,Q1,American Chemical Society,19,8,4510-4520
10.1088/1742-6596/1199/1/012030,"GaN-nanowire/Si solar cell: numerical modeling, fabrication and characterization",YES,"Shugurov K.Y., Mozharov A.M., Sapunov G.A., Fedorov V.V., Bolshakov A.D., Cirlin G.E., Mukhin I.S.",21.03.2019,0,Journal of Physics: Conference Series,Q4,Institute of Physics Publishing,1199,,012030
10.1134/S1063782618160054,Microlens-Enhanced Substrate Patterning and MBE Growth of GaP Nanowires,NO,"Bolshakov A.D., Dvoretckaia L.N., Fedorov V.V., Sapunov G.A., Mozharov A.M., Shugurov K.Y., Shkoldin V.A., Mukhin M.S., Cirlin G.E., Mukhin I.S.",21.12.2018,17,Semiconductors,Q3,Pleiades Publishing,52,16,2088-2091
10.1134/S106378261816008X,Self-Catalyzed MBE-Grown GaP Nanowires on Si(111): V/III Ratio Effects on the Morphology and Crystal Phase Switching,NO,"Fedorov V.V., Bolshakov A.D., Dvoretckaia L.N., Sapunov G.A., Kirilenko D.A., Mozharov A.M., Shugurov K.Y., Shkoldin V.A., Cirlin G.E., Mukhin I.S.",21.12.2018,13,Semiconductors,Q3,Pleiades Publishing,52,16,2092-2095
10.1134/S106378261814021X,Effect of the Conductive Channel Cut-Off on Operation of n+–n–n+ GaN NW-Based Gunn Diode,NO,"Mozharov A.M., Vasiliev A.A., Komissarenko F.E., Bolshakov A.D., Sapunov G.A., Fedorov V.V., Cirlin G.E., Mukhin I.S.",21.12.2018,0,Semiconductors,Q3,Pleiades Publishing,52,14,1809-1812
10.1088/1742-6596/1124/4/041021,Influence of hydrogen plasma passivation on electrical and spectral characteristics of GaN nanowires / Si solar cells,YES,"Shugurov K.U., Mozharov A.M., Fedorov V.V., Bolshakov A.D., Sapunov G.A., Mukhin I.S.",21.12.2018,0,Journal of Physics: Conference Series,Q4,Institute of Physics Publishing,1124,,041021
